lab_results_Haemoglobin_g_L__Value_record_units_if_different_from_those_listed,Haemoglobin
lab_results_Haemoglobin_g_L__Select_if_Not_Done,
lab_results_WBC_count_x109_L__Value_record_units_if_different_from_those_listed,WBC_count
lab_results_WBC_count_x109_L__Select_if_Not_Done,
lab_results_Haematocrit__Value_record_units_if_different_from_those_listed,Haematocrit
lab_results_Haematocrit__Select_if_Not_Done,
lab_results_Platelets_x109_L__Value_record_units_if_different_from_those_listed,Platelets
lab_results_Platelets_x109_L__Select_if_Not_Done,
lab_results_APTT_APTR_Value_record_units_if_different_from_those_listed,APTT_APTR
lab_results_APTT_APTR_Select_if_Not_Done,
lab_results_PT_seconds__Value_record_units_if_different_from_those_listed,PT
lab_results_PT_seconds__Select_if_Not_Done,
lab_results_INR__Value_record_units_if_different_from_those_listed,INR
lab_results_INR__Select_if_Not_Done,
lab_results_ALT_SGPT_U_L__Value_record_units_if_different_from_those_listed,ALT_SGPT
lab_results_ALT_SGPT_U_L__Select_if_Not_Done,
lab_results_Total_bilirubin_µmol_L__Value_record_units_if_different_from_those_listed,Total_bilirubin
lab_results_Total_bilirubin_µmol_L__Select_if_Not_Done,
lab_results_AST_SGOT_U_L__Value_record_units_if_different_from_those_listed,AST_SGOT
lab_results_AST_SGOT_U_L__Select_if_Not_Done,
lab_results_Urea_BUN_mmol_L__Value_record_units_if_different_from_those_listed,Urea_(BUN)
lab_results_Urea_BUN_mmol_L__Select_if_Not_Done,
lab_results_Lactate_mmol_L__Value_record_units_if_different_from_those_listed,Lactate
lab_results_Lactate_mmol_L__Select_if_Not_Done,
lab_results_Creatinine_μmol_L__Value_record_units_if_different_from_those_listed,Creatinine
lab_results_Creatinine_μmol_L__Select_if_Not_Done,
lab_results_Sodium_mEq_L__Value_record_units_if_different_from_those_listed,Sodium
lab_results_Sodium_mEq_L__Select_if_Not_Done,
lab_results_CRP_mg_L__Value_record_units_if_different_from_those_listed,CRP
lab_results_CRP_mg_L__Select_if_Not_Done,
lab_results_LDH_U_L__Value_record_units_if_different_from_those_listed,LDH
lab_results_LDH_U_L__Select_if_Not_Done,
lab_results_Creatine_kinase_U_L__Value_record_units_if_different_from_those_listed,Creatine_kinase
lab_results_Creatine_kinase_U_L__Select_if_Not_Done,
lab_results_Troponin_ng_mL__Value_record_units_if_different_from_those_listed,Troponin
lab_results_Troponin_ng_mL__Select_if_Not_Done,
lab_results_ESR_mm_hr__Value_record_units_if_different_from_those_listed,ESR
lab_results_ESR_mm_hr__Select_if_Not_Done,
lab_results_D_dimer_mg_L__Value_record_units_if_different_from_those_listed,D-dimer
lab_results_D_dimer_mg_L__Select_if_Not_Done,
lab_results_Ferritin_ng_mL__Value_record_units_if_different_from_those_listed,Ferritin
lab_results_Ferritin_ng_mL__Select_if_Not_Done,
lab_results_IL_6_pg_mL__Value_record_units_if_different_from_those_listed,IL-6
lab_results_IL_6_pg_mL__Select_if_Not_Done,
